Gene,log2FoldChange
CHRM3,1.3695476397186561
FOXP2,1.3672565672729133
ZC2HC1A,1.3668842177455514
LINC00426,1.3661407910216519
HMGN5,1.3642517617989232
SLFN14,1.3640354427652392
TLN2,1.3609980578299046
CEP112,1.3596239839092905
LY9,1.3592761332454715
ECE1,1.3576696906472863
HBG2,1.3566580133749548
RBP7,1.3528218183601848
CADPS2,1.3520446850341596
ESR1,1.3516937871084866
FERMT1,1.3510359746057132
DTX3,1.3493781505952323
AMMECR1,1.3479412171666965
GIMAP6,1.347664189483825
ANKRD20A11P,1.3460814021447267
NCR3,1.345961361723436
FHL2,1.345800657395301
ANKH,1.3411479668218944
IPCEF1,1.3410881544227604
SUSD3,1.3410654466401355
IFIT2,1.3377688854039131
HBD,1.3359842002249593
FAM13A,1.334758854501059
IGFBP3,1.3333498696912984
ANKRD20A8P,1.3296312102773538
SOCS3,1.3291216455966408
AKTIP,1.3274826063726077
DUSP5,1.3258452634684648
MAGEH1,1.3247094408874014
FN3K,1.3202436680068375
MEI1,1.3197881999482108
ENPP5,1.319682703380752
TPD52,1.3196550816666288
CLIC3,1.3190715065178666
FCGR3A,1.3160367378452211
LOC101928100,1.3153599856184774
LAX1,1.312695649853297
PIM2,1.311960587841613
DNAJB9,1.3118859342598546
TSPAN5,1.311413492041644
CDC42EP4,1.3097148428807837
CHPF,1.3092650930334089
SYTL3,1.3091298820488755
PRKCQ-AS1,1.307245290316207
SCARNA17,1.3050991646236845
SPTBN2,1.3021739221308364
APOOL,1.2999695285373245
CEP126,1.2949916746284533
L1TD1,1.2932249552400128
SLC30A4,1.2931164955571486
ABLIM1,1.292176740262028
MARCH9,1.2918507132487118
KLRG1,1.291184094439812
HES6,1.2889023630388732
HIVEP2,1.2860863053484972
ANKEF1,1.2858133520932782
ARFGEF3,1.2847787472493257
LNP1,1.282583488408357
RHAG,1.2818118953760214
TTC12,1.2813829186229073
FER1L4,1.2807442267087477
FAM46C,1.2784999257124083
LOC728743,1.2780424982040417
SPTB,1.2749355136532619
TNRC6C,1.274373400945165
SERPINE2,1.2713909366664906
PRKCH,1.2712643592639423
AXL,1.271254466083108
S100A12,1.2683494491312053
CXCR6,1.2675701619363529
ACVR2A,1.2643751521587243
NOSIP,1.2610657458114132
FAM159A,1.2609530720989672
ATP6V0E2,1.2587983073973659
BCORP1,1.2561886675384293
COL11A2,1.2559693365503928
LINC01424,1.2559147163098185
RARRES3,1.2553585579244186
RGPD1,1.2544409564495986
CCR2,1.2534613764090685
TPD52L1,1.2529920854737817
TNFSF14,1.2490132499219593
PKIA-AS1,1.2469108082862916
DUSP8,1.2444598292262756
EDA,1.2429539881171847
LOC110091768,1.240678147791601
KIAA1671,1.238811179449644
MCC,1.2384916060142028
SOWAHC,1.2376964705435196
TNFRSF25,1.2374306547514862
KLRF1,1.2367029535312646
SETBP1,1.236196576455618
CAPRIN2,1.2338004030908853
CLGN,1.2330458698882987
REXO2,1.2324863318778374
SPAG4,1.2317248833767243
ATP8B2,1.2312806297272805
EVL,1.2306425309314717
MGAT4A,1.2289400118543876
COL4A4,1.2275387126537656
BCL9L,1.2262494949827074
USP44,1.2260375023319527
CDR2,1.2242018970897308
GNGT2,1.2240174936305288
BATF3,1.2239055056099555
PRR5,1.2216757787155026
PLCL1,1.2194090825242374
GLCCI1,1.2175810446891728
TFRC,1.2167654405560575
GIMAP8,1.2118399410539022
SSPN,1.2112849950735274
CYFIP2,1.209189566236275
DGKA,1.207418091666816
LTBP2,1.2065596622834642
NIPAL1,1.2047200037554413
BCAS4,1.2039091965850925
HIST1H2AJ,1.2025490008905824
NMT2,1.2003503479868756
RIPOR3,1.1986485407961778
B3GALT2,1.1977515361484241
CCDC68,1.1964865709936074
ST6GAL1,1.1948977060112822
STX1A,1.1943785853057813
FYN,1.1941560335203172
NAP1L3,1.19358021843019
STXBP6,1.192384397456917
LINC01619,1.1915468711801784
FAM84B,1.1913728952900418
IGIP,1.190562063930954
INPP4B,1.1898472604579324
IFIT3,1.1889504011855143
LAMP5,1.1866556902905503
SASH1,1.1863824184006533
SLC26A11,1.1862249120290642
OLR1,1.1860743403466678
FAM107A,1.18570115353334
CISH,1.1854099145577957
LAMP3,1.1845547701897665
KIAA0355,1.1845545519787888
FAM89A,1.183999228770512
SLAIN1,1.1814050739132342
LOC101928433,1.1809309269546393
PZP,1.178716071529817
TRO,1.1786927259592175
SMIM5,1.1774860955511552
LOC101928617,1.177243438769953
SLC14A1,1.176631311377447
BIN1,1.175337182680762
LOC100294362,1.1749682382894764
MYL4,1.174186309099507
RAB3B,1.1729144881409086
PROS1,1.1721324330563478
IFIT1,1.1719699427969639
DHRS13,1.1719652197856079
PIK3IP1,1.1716994995727226
IL6ST,1.1711361951328187
NAP1L2,1.1691902641953535
CRYBB2,1.169187992550411
FCN1,1.1686547256750919
ZBTB38,1.1681279972948022
A2M,1.1673159067692045
C11orf96,1.1650583541202595
RASA3,1.1643388252771814
TDRKH,1.1637279817232402
SGTB,1.163683086815269
LMTK2,1.1636285487659894
RARRES1,1.1608555929741358
SPA17,1.1601729812715196
LINC002481,1.1598164145229248
RRAS2,1.1585851439641348
C11orf65,1.1580419497975902
CAV1,1.1567391480832552
GPR63,1.1562962110244186
TGFBI,1.1554615655611462
CAVIN1,1.1554109123127645
PFKM,1.155301956170494
ELOVL6,1.1544130796741177
SLC25A23,1.1533500824247311
TBC1D12,1.153067123538008
SCARNA10,1.1530246484122624
ABI3,1.147815155526633
RUNX3,1.1470956360433189
CBX7,1.1469736840101619
ALG14,1.1433669907687745
MEX3A,1.1417793882701117
VCAN-AS1,1.1416558310046
STXBP1,1.1389913044081168
CXCR2P1,1.1379132808700736
ADAMTS3,1.1363967731495483
SNTB2,1.1360835892545602
CCDC181,1.134185406670559
KALRN,1.1337454388831762
HIST1H2BM,1.1316759216981214
DUSP16,1.1311363273267385
ANKRD20A5P,1.131095535417272
IGF1,1.1281674266965152
TMEM116,1.1279260354357432
NUAK2,1.1263083704316987
FHIT,1.1261180787754697
NR4A3,1.1260422181858225
TMOD1,1.1246596350440197
FAXDC2,1.1217598180182562
MBOAT2,1.1212954451434634
LFNG,1.1212527828750594
CAMSAP2,1.1199359005997573
TSHZ3,1.1172214392250897
SLC46A2,1.116375279609997
ADAM12,1.1162331026850878
ISM1,1.1156006076517624
NR1D2,1.1154439154033136
GNAL,1.1152953653371516
GNG2,1.1151739160658514
PRG4,1.1135070989739457
PMM1,1.1120447810604714
BOLA3,1.1116455663467704
BEX2,1.111189960166932
SLC25A4,1.109951800600325
ESR2,1.1095849299165976
AIG1,1.108903404459349
