Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10_padj
LRIG1,7.6729209706552375,2.0727631278538166,0.4364066140884227,4.749614375537037,2.0380490419210057e-06,0.00046024879379506713,3.3370073410071805
THRA1-BTR,2.516761608644775,3.2401069638606868,0.6847711469677438,4.731663970084464,2.2268683096703355e-06,0.00048037205492037854,3.3184222651052666
UBASH3A,8.49931277423558,2.6381286536271453,0.5572341692915513,4.734326785776926,2.197833745207096e-06,0.00048037205492037854,3.3184222651052666
MGST1,139.31812043011408,-1.7877853776198316,0.3773845500589267,-4.737304103574664,2.1658004452924562e-06,0.00048037205492037854,3.3184222651052666
CPXM1,38.2566898799647,-1.8528268178191896,0.3925996623478828,-4.719379549994108,2.3656507001973e-06,0.000502805140734582,3.2986002906892447
CD3G,129.62179149066918,2.3593573682824838,0.5010548982871312,4.708780168296941,2.4920365790891064e-06,0.0005219913721387661,3.282336675280288
PECR,9.152862079070413,1.983247222579433,0.42293609596476334,4.689236131655847,2.7422679805120427e-06,0.0005661999874620079,3.2470301445879786
ZBP1,15.015785957914384,1.9558568567455246,0.41775605554253414,4.68181569314532,2.8434507920108647e-06,0.0005788224548863806,3.2374546291699944
FAM178B,10.484814061495282,4.472972374811393,0.960600966887853,4.656431264381184,3.2173762668119946e-06,0.0005970195834265693,3.22401142291652
SPOCK2,78.3883574615914,2.256169375073583,0.4840601425716887,4.660927799358005,3.1478714364724946e-06,0.0005970195834265693,3.22401142291652
SEC14L2,4.983239561381087,2.0322288207082795,0.436061046207697,4.660422751314328,3.1556057806668603e-06,0.0005970195834265693,3.22401142291652
HHEX,82.75818569461701,-1.4468873380284353,0.3106875341567976,-4.657049861866105,3.207727764383876e-06,0.0005970195834265693,3.22401142291652
CD27,22.099121043221764,2.464908127810059,0.52816184386628,4.666956078777482,3.0569464305955976e-06,0.0005970195834265693,3.22401142291652
XCL1,10.008664295481163,2.5617814469985607,0.549407936678395,4.662803858434505,3.1193002403069634e-06,0.0005970195834265693,3.22401142291652
MYBL1,34.41546834496977,2.1967196429783886,0.4717903045011676,4.656135622161671,3.2219973366963537e-06,0.0005970195834265693,3.22401142291652
GIMAP7,242.32364723309288,2.4065236947968143,0.5179770398127055,4.646004571297186,3.3842550620368317e-06,0.0006191473216660548,3.2082060014255687
ALDH1A1,23.275745073200675,2.455582203052987,0.5295634465114862,4.636993393764623,3.5351370603444125e-06,0.0006386666991644724,3.1947257278785712
RFK,85.26368715704223,0.7726528535773274,0.16672998782805093,4.634156480441696,3.58395828648116e-06,0.0006394931989445952,3.1941640699133016
AGFG2,11.17426942601868,1.9092297162930818,0.4137708215894234,4.6142202801036865,3.945737758853094e-06,0.0006935834768046235,3.158901261578632
CD247,43.2931457430167,2.3349846957699465,0.5062557133586816,4.612263396058925,3.983078155039351e-06,0.0006935834768046235,3.158901261578632
SDCCAG8,102.01237241919002,-0.8262236540450516,0.1793922270187531,-4.6056825748569405,4.111151010089262e-06,0.0007073626851050012,3.150357853880081
IL1RAP,54.59326917906738,-1.6871006587655366,0.36685943858476977,-4.598765852321666,4.250011201736426e-06,0.0007073761025318155,3.15034961615524
TSPAN17,19.852358313706088,1.502230910096154,0.3265167861911933,4.600776969599708,4.209179266025855e-06,0.0007073761025318155,3.15034961615524
CACNB4,7.910979119668762,-2.67963964681305,0.5827366373231865,-4.598371674590487,4.258058598233443e-06,0.0007073761025318155,3.15034961615524
DNAJA4,25.7653798693721,1.99091694818086,0.4333044868870396,4.594729591849074,4.333108043610321e-06,0.0007116637562988633,3.1477251514137885
SMAD7,6.554035494346886,2.5074336244012976,0.5468010857415194,4.5856412684348555,4.525951274260942e-06,0.0007298008379106985,3.136795642341905
NMU,13.679113392234624,3.799592677485967,0.8287972160760883,4.584466023516593,4.551480871530562e-06,0.0007298008379106985,3.136795642341905
MYH10,33.3598734129046,1.9091819380854231,0.4166267143185819,4.5824760450323145,4.595023611006266e-06,0.0007298008379106985,3.136795642341905
IL32,199.53053087203068,2.623994620201957,0.5741427617645761,4.570282506283535,4.870671783465132e-06,0.0007640535019396843,3.116876229403846
SLC37A3,9.181855042146571,2.007861232406737,0.43959914723226234,4.5674820914652114,4.9361783588236115e-06,0.0007640535019396843,3.116876229403846
TTC16,3.149656473697983,2.831230043472573,0.6200569807794967,4.566080426855816,4.969281753430452e-06,0.0007640535019396843,3.116876229403846
CDC25B,28.383225525509456,1.420503090759013,0.3114242399791845,4.561311896768084,5.083500422602278e-06,0.0007733877011354813,3.1116027386134375
SMIM1,31.628120995128036,2.6476569624161903,0.5812770434257913,4.554896829938551,5.2411295277647434e-06,0.0007890629694248316,3.1028883374971583
PPP3CC,22.797109838136684,1.082042874219493,0.23803210082639614,4.545785507344906,5.473075130125229e-06,0.0008154881943886591,3.0885823217469093
THEMIS,29.20856077736213,2.889945340425387,0.6372744441092277,4.534852083178868,5.764386895514104e-06,0.0008415422606148015,3.0749240697167224
CDH1,15.099857847930927,2.759254570456633,0.6084183523658874,4.535127120552878,5.756880122831455e-06,0.0008415422606148015,3.0749240697167224
ABCD2,12.667259713898222,2.994654623578134,0.661933030388076,4.5241051376790145,6.065157076713304e-06,0.0008765971522973738,3.0571999445234304
CD48,219.369538991661,1.6349425967531557,0.3616232127352441,4.521121817337952,6.151277533354028e-06,0.000880241724649166,3.055398049138888
HOXA6,12.498731538394408,-3.4277963102326625,0.7591385594517516,-4.515376366480726,6.320441230211903e-06,0.0008955817362769865,3.0478947716305247
EOMES,8.443944957703367,2.6963643428192605,0.599085429338675,4.500801072387543,6.769784086149132e-06,0.0009437582582149538,3.0251392351174644
CD40LG,14.699251900302569,2.699925738494947,0.5999655198681776,4.500134839562389,6.791037075649014e-06,0.0009437582582149538,3.0251392351174644
ACSL6,15.385354456841343,2.31201390411353,0.5145628075084321,4.493161710051583,7.017345643461941e-06,0.0009478663232238825,3.023252906522444
IL6ST,154.11159377366502,1.1711361951328187,0.2605351612539073,4.495117624417211,6.953150062153132e-06,0.0009478663232238825,3.023252906522444
ZNF618,15.421425942327467,-1.131257461494726,0.2516713370088384,-4.494979344648204,6.9576700642016905e-06,0.0009478663232238825,3.023252906522444
SMIM3,61.88912124522869,-1.7264801637986396,0.38546527851578594,-4.478951179328945,7.501068529735725e-06,0.0009946141601859671,3.0023453620685516
KLRD1,43.755904294803166,1.8363806152247628,0.40991042543298656,4.479955866662826,7.465847460640611e-06,0.0009946141601859671,3.0023453620685516
LINC00539,11.279413650682885,-2.001884385772868,0.44810886745040374,-4.4674063183863115,7.917366429353266e-06,0.0010366143011029654,2.984382803940188
LAT,30.00207587291897,2.011565963730578,0.45044298241350295,4.465750477346714,7.978856096011182e-06,0.0010366143011029654,2.984382803940188
NT5C2,89.80516011474735,-0.6666608498502148,0.14939516805756636,-4.462399008737222,8.104712933275797e-06,0.0010366143011029654,2.984382803940188
IFNG,7.318070589963635,2.4746055254413566,0.5543404479815642,4.464053695615686,8.042339563239025e-06,0.0010366143011029654,2.984382803940188
OXNAD1,82.1331055843782,1.514880081722562,0.33975561516428227,4.458734496529428,8.244496759781592e-06,0.0010452430848168714,2.9807826970000386
TSHZ2,11.614571431569617,2.243275717487941,0.5063508449290718,4.430279400051505,9.41110755754591e-06,0.0011719056565810862,2.931107349474445
ELMO1,65.69049171320944,-0.8075454762342459,0.18251601373643517,-4.424518483076193,9.665762864627915e-06,0.0011719056565810862,2.931107349474445
KDM5B,101.6497400302178,-1.2356585393031772,0.2794040748459393,-4.422478591210623,9.757502046375542e-06,0.0011719056565810862,2.931107349474445
PAN3,146.3722849749273,-1.0832098872408273,0.2449983784211252,-4.421294109052872,9.811152317602673e-06,0.0011719056565810862,2.931107349474445
CD8B,14.776852437536114,3.0142645253986498,0.6815647133265919,4.422565409360146,9.753580722946159e-06,0.0011719056565810862,2.931107349474445
OTUD7B,4.336901736555227,1.87336218662513,0.4228888106815471,4.42991665730274,9.426951284695528e-06,0.0011719056565810862,2.931107349474445
PLCH2,2.599266413497691,3.561059184319914,0.804229643311299,4.427913362727802,9.514910333165072e-06,0.0011719056565810862,2.931107349474445
CAMK4,59.91228945975289,2.513401643168661,0.5691666883588521,4.415932440487442,1.0057549546146442e-05,0.001191489865495529,2.9239096472982946
RORA,81.73683753615886,1.8974975159751761,0.42999924613047713,4.412792657314119,1.0204571538986134e-05,0.0011990786378289966,2.9211523341194146
LCK,38.646980580533786,2.571541939418545,0.5837922306626964,4.404892364702146,1.0583641510443405e-05,0.0012335916996003107,2.908828561496353
MAGI2-AS3,9.295288471383836,1.9722632096681987,0.4488450159695509,4.394085128488972,1.1124022185120247e-05,0.001250712565277024,2.9028424869949587
P2RY10,32.849652699095486,1.7139283302276513,0.38988887248370824,4.395940615871947,1.1029408686145151e-05,0.001250712565277024,2.9028424869949587
PPP2R5C,142.33950416003623,0.712306409075627,0.16190212838479667,4.39961114891999,1.084450223247863e-05,0.001250712565277024,2.9028424869949587
TMEM131L,64.66795011837551,0.7180516166185174,0.1633825571398355,4.394909892394161,1.1081871226360797e-05,0.001250712565277024,2.9028424869949587
GSN,48.50360515039676,-1.7396482644146263,0.3959756828549814,-4.393320953124638,1.116321323744109e-05,0.001250712565277024,2.9028424869949587
