Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCL2,2.131144143680673,2.565144889508777,0.8316111129401105,3.0845485944023325,0.0020386130388484543,0.03657742563704322
XCL1,10.008664295481163,2.5617814469985607,0.549407936678395,4.662803858434505,3.1193002403069634e-06,0.0005970195834265693
SLFN5,172.70809556862736,2.5494076188396595,0.5138417920404256,4.961464128318877,6.996379235912137e-07,0.0002353825644313994
CDC14B,5.290169471458576,2.5263881630389027,0.4656994857535091,5.424932258516813,5.7976523472071844e-08,4.929027610246202e-05
CCR7,66.44213520040297,2.521693735929853,0.7139476660774885,3.5320428313525154,0.00041236255923696375,0.012547107512951235
LOC101927596,5.045803202783193,2.517889137170997,0.6006015701276868,4.192278645951089,2.761664961246821e-05,0.0021548179267434496
CAMK4,59.91228945975289,2.513401643168661,0.5691666883588521,4.415932440487442,1.0057549546146442e-05,0.001191489865495529
GRAP2,15.45410328446599,2.5093286481865684,0.5259934367934938,4.770646309740433,1.836357426103411e-06,0.00044234789799120993
SMAD7,6.554035494346886,2.5074336244012976,0.5468010857415194,4.5856412684348555,4.525951274260942e-06,0.0007298008379106985
TCF7,83.72492960166674,2.5072512959566944,0.5053637802379823,4.961280158969837,7.003009942953141e-07,0.0002353825644313994
ADD2,30.8672101112134,2.5070715462618787,0.6959417085342877,3.60241600053255,0.0003152732933439717,0.010604802061187558
CYYR1,3.078819266880038,2.4937676465318974,0.7692944893854623,3.241629416225249,0.0011884845800837947,0.02568059086679693
IFI27,25.78391267208432,2.4927470220914505,0.6350152457491243,3.925491614222222,8.655278551041177e-05,0.0044517701387259126
GZMH,24.7100195487117,2.491816341099833,0.6310542119581725,3.9486565399313034,7.859101596010984e-05,0.004145532677633093
PTGDR,5.516021440731018,2.4888054101547317,0.597993278428888,4.16192873721522,3.15570840544159e-05,0.0023329426232397655
JAKMIP1,6.093745384723524,2.487345266103674,0.6292845924146572,3.9526555966663133,7.728863969486022e-05,0.004106811432021377
LOC101927960,4.275966929858814,2.4760697595139862,0.7467147928476413,3.315951127834694,0.0009133179925721554,0.021498672551539675
IFNG,7.318070589963635,2.4746055254413566,0.5543404479815642,4.464053695615686,8.042339563239025e-06,0.0010366143011029654
LBH,94.05642753762808,2.473255827656405,0.4194867836348125,5.89590882035873,3.726247048434893e-09,1.0771089718205901e-05
SOGA3,2.4354231736960514,2.4681061563860602,0.6927976543681649,3.5625209479627733,0.0003673105886210266,0.011693259773875985
CHRM3-AS2,4.340258560892312,2.468072550935761,0.5881925400353429,4.196028312068461,2.7163630632625548e-05,0.0021548179267434496
CD27,22.099121043221764,2.464908127810059,0.52816184386628,4.666956078777482,3.0569464305955976e-06,0.0005970195834265693
KLRK1,53.6992471069202,2.4623904496865525,0.39563108259304247,6.223955998471026,4.847730898105099e-10,7.006425467031299e-06
ALDH1A1,23.275745073200675,2.455582203052987,0.5295634465114862,4.636993393764623,3.5351370603444125e-06,0.0006386666991644724
LTA,4.736241762487405,2.453709040058847,0.7661130614774229,3.202802776037981,0.0013609715145390259,0.028020115811442366
CD6,34.28304852327398,2.446495686734033,0.5646773586157363,4.332554952674977,1.473888584882134e-05,0.0014793133137014918
DPP4,21.008117849095825,2.4398908012163107,0.5946178651561416,4.1032921211938636,4.073124313920417e-05,0.002807560628131791
MB21D2,1.8242471052561526,2.4377645758979334,0.7753262672836909,3.1441790105196556,0.0016655352116773973,0.031883417767382016
EPHX2,5.642723005209945,2.4317031230255353,0.6225705613501876,3.9059076576827323,9.387235726162798e-05,0.004630502319120509
CLCN4,5.365784966095471,2.428285462878197,0.7917602731868681,3.0669453180623054,0.0021625841454361167,0.03774858533090362
IL7R,395.30086176167356,2.4158550298140984,0.5696022471383729,4.241301789013513,2.222270909828595e-05,0.0019507319233139184
GIMAP7,242.32364723309288,2.4065236947968143,0.5179770398127055,4.646004571297186,3.3842550620368317e-06,0.0006191473216660548
LINC00861,43.94678662492271,2.4030280118140164,0.5497084702563035,4.371458949311069,1.234190570159149e-05,0.0013529569122757133
CHMP1B2P,3.3516367527274977,2.3997968821658087,0.7923213876623453,3.028817496958069,0.0024551294803828094,0.040974580115441965
BEX5,5.761411225947114,2.387655451653586,0.7187891664806638,3.321774399221996,0.0008944698333915631,0.021297813018135523
LINC00892,5.136888739526796,2.3866141597607657,0.6209034407842444,3.843776669599874,0.00012115526910690397,0.005558461588495743
PCED1B-AS1,60.7881754644667,2.378421954788052,0.3948003920740192,6.024365736552088,1.6977406914921384e-09,9.559340502868722e-06
DACT1,3.5849705262414373,2.368753102600721,0.696734192407788,3.3997945391695743,0.0006743650537967282,0.017785762997306775
PIR,6.043255893269253,2.3645097524258087,0.6812127578333941,3.471029755734702,0.0005184665438883496,0.014768445847577288
KLRB1,64.88273440045741,2.363492159279982,0.45331923410328856,5.213747799506478,1.8506303248320472e-07,0.00010602045027801837
GPR68,2.6614744718133077,2.3608294112684693,0.6678321275701523,3.5350641483184355,0.00040767617665667143,0.012456963596657235
CD3G,129.62179149066918,2.3593573682824838,0.5010548982871312,4.708780168296941,2.4920365790891064e-06,0.0005219913721387661
CCDC175,3.4735023864743924,2.3574072318845425,0.7775956827309655,3.031661934651152,0.0024321142608075483,0.04068442987436516
NR3C2,3.6830900779792737,2.3568671888943475,0.5468104080074835,4.310209085965482,1.631002622263265e-05,0.0016126171833925776
CD2,166.7163522391123,2.34977587642029,0.4795744877126142,4.899709923327692,9.597825304743667e-07,0.00028309667169277593
BCL11B,82.72801742925749,2.3436070105834554,0.5700231048891267,4.111424590480947,3.932253097095347e-05,0.0027588764083650024
CD247,43.2931457430167,2.3349846957699465,0.5062557133586816,4.612263396058925,3.983078155039351e-06,0.0006935834768046235
SCML4,20.34216335001154,2.3337304797690437,0.5747475910239115,4.060444125762246,4.897945789751648e-05,0.003091266834029719
HPCAL4,2.3298603966166738,2.3333565844458244,0.779609570240396,2.992980940095853,0.0027626700195915476,0.04416910375349186
NCKAP1,2.8108969940667454,2.3317429339300735,0.7033563525534412,3.3151658124149903,0.0009158877984582466,0.02152410788799518
RFESD,26.76641934918969,2.3284701118068503,0.6635035558678521,3.509355889978989,0.00044919340829926383,0.013303672807682911
ANK1,44.1106387036641,2.3224157015018667,0.7171256631369239,3.2385059144905233,0.0012015752960314536,0.025699959339455635
IFNG-AS1,3.5056715841056603,2.318048269927626,0.7149528005143154,3.2422395831726125,0.0011859427819719127,0.02568059086679693
RNF157,10.432990599204713,2.3142883429154573,0.5843442086657624,3.960488199583067,7.479668934440951e-05,0.004037230925000314
ACSL6,15.385354456841343,2.31201390411353,0.5145628075084321,4.493161710051583,7.017345643461941e-06,0.0009478663232238825
SKAP1,55.59594841674089,2.3084172195983266,0.43564760270659314,5.298817680291554,1.165549448530358e-07,8.01199431867552e-05
SBK1,3.7415128128576725,2.3049013018522206,0.6227032472965771,3.701444165995263,0.00021437583303915558,0.008284422232392822
FCRL6,4.581468717842621,2.303948421599149,0.5995451757037678,3.842827054516269,0.0001216251769371675,0.005558461588495743
CD28,25.345159853287072,2.3003308683670816,0.5808505100882201,3.960280362012087,7.48618202380187e-05,0.004037230925000314
GZMM,3.284416269215903,2.2981532452240785,0.6342879471797667,3.6232018209432373,0.0002909786032755964,0.01018284201729345
