Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ST3GAL4,20.9536330843846,-1.777596234261649,0.4679805986344626,-3.7984400196259434,0.00014560965553455545,0.0063198088631859755
TNFSF4,6.1238751946375745,-1.762959915351939,0.4156693964064483,-4.241255022845339,2.2227340699805454e-05,0.0019507319233139184
SPRY2,10.503702282362804,-1.7526761327648077,0.4559716077803563,-3.8438273411292756,0.00012113024295880597,0.005558461588495743
JAG1,10.920469553571515,-1.7451955759906232,0.40501469005872087,-4.308968585158224,1.6401766135661034e-05,0.0016126171833925776
LDLRAD2,8.123999326284647,-1.7418448962271451,0.5373088128352961,-3.2417947642356677,0.0011877952862074308,0.02568059086679693
GSN,48.50360515039676,-1.7396482644146263,0.3959756828549814,-4.393320953124638,1.116321323744109e-05,0.001250712565277024
HOMER3,9.80456222259105,-1.7356231043456265,0.4903135337328526,-3.5398229600802353,0.000400395532451416,0.012286447198556934
C1orf228,66.0441466446998,-1.7353758238915307,0.4242770075561823,-4.090195303976575,4.310100967471016e-05,0.0029029417695841777
SMIM3,61.88912124522869,-1.7264801637986396,0.38546527851578594,-4.478951179328945,7.501068529735725e-06,0.0009946141601859671
PIWIL4,15.21830093802662,-1.7200011080166318,0.4481899505957547,-3.837661031288915,0.00012421177946603923,0.005637264838463107
S100Z,22.97379898829642,-1.7185300812349122,0.5065371117353187,-3.392703202629104,0.0006920657971480753,0.018153224983994794
LOC643072,9.768835030991447,-1.7143869536368768,0.46107801186979824,-3.7182145092639876,0.00020063586900984667,0.007922924084151132
LTK,4.332003016534273,-1.7101619358427496,0.5489249914835322,-3.1154747230962148,0.0018364908764112256,0.0342930266624954
FUT4,40.29900112453367,-1.7045864378075442,0.4048540612086145,-4.2103725789950746,2.54949885648409e-05,0.002114722422578619
SHANK1,5.81168546529338,-1.703053566836232,0.5059848425974264,-3.3658193358001878,0.0007631667448072456,0.019318489339855447
ANGPT1,110.11116230596633,-1.6980139436366637,0.5370746500823558,-3.1615976352194015,0.001569062076165574,0.030728528708429598
RAC3,4.075681071891769,-1.696128687323007,0.5104406855182742,-3.3228712668169242,0.0008909602111692366,0.021249254013249137
C20orf197,7.410669954248021,-1.6928355360103924,0.4492668911991339,-3.767995303397634,0.00016456379797484278,0.006914071430611636
IL1RAP,54.59326917906738,-1.6871006587655366,0.36685943858476977,-4.598765852321666,4.250011201736426e-06,0.0007073761025318155
CXCL2,40.8583265926624,-1.6585327536647483,0.4646204600297321,-3.5696507070709176,0.0003574575280284866,0.011480741450212703
TFPI,71.75799364462739,-1.658048718467842,0.43830664818210996,-3.7828509454388817,0.00015504226711238965,0.00664933497500109
NRG4,11.046505314381346,-1.649155675504574,0.5383085284548338,-3.063588236727973,0.002186996994790418,0.03799118697801191
PLD3,50.17475484039485,-1.6459308301983095,0.43834267475308186,-3.7548952566059453,0.00017341398371429823,0.007151321591489308
DEPTOR,22.352896106497266,-1.645203994360294,0.4298453278154349,-3.8274325388659447,0.00012948685694665865,0.0057761529118828935
KCNQ5,19.62780713778099,-1.6356848727273594,0.32012758394667246,-5.109478079214303,3.2304996761367485e-07,0.0001373247406447189
LINC01637,6.806209267767776,-1.6304773144878801,0.523879660181415,-3.112312690138151,0.0018562776893593144,0.03448429491556577
MEIS1,33.653844173096886,-1.627270950503863,0.52764864229199,-3.0840048094037624,0.0020423429384275847,0.03657742563704322
SLC17A9,20.377463472708694,-1.6176972573455612,0.41414712424968825,-3.906093179510419,9.38003536084481e-05,0.004630502319120509
IGFBP7-AS1,1.6608005499785343,-1.60670982642193,0.5432878093540436,-2.9573824384763387,0.0031026303573171345,0.04778120931274191
BAHCC1,42.83169482984672,-1.6064887644944277,0.5085224486458878,-3.1591304745193547,0.0015824063010921538,0.030947927293213665
SCARF1,16.222004992019357,-1.6004681972837596,0.36692520599426115,-4.361837701901547,1.2897453147151252e-05,0.00137629656513237
HAAO,2.930976372590774,-1.5924678190725043,0.4398494762734336,-3.6204836085391685,0.0002940528803984626,0.010265570725601402
FAM86B3P,2.9426463455993046,-1.5869813625263982,0.4778682195246515,-3.3209602515626835,0.0008970831240568787,0.021324905249990245
RAB44,15.083841567492469,-1.5848825037038559,0.3799030238559189,-4.171808077802862,3.0219212347733266e-05,0.0022747826878218172
ADGRA2,11.146492970720283,-1.5778909921498294,0.4630709977352679,-3.407449397320906,0.0006557306597345898,0.017367075268149085
CHRFAM7A,3.4818106338828727,-1.5752672413991264,0.4362054377834046,-3.611296661967146,0.0003046699100079066,0.01044950306327033
NTNG2,7.0161592121872625,-1.5733661388301994,0.4363646751591865,-3.6056221513719757,0.0003114059669517454,0.010565141878764265
