,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
9,prerank,E2F Targets,0.4155440403435154,1.562498117421014,0.001,0.020009911669533278,0.162,101/198,31.44%,DLGAP5;CNOT9;CDC25B;TFRC;HMMR;CDK1;MKI67;CDC20;CENPE;CDKN3;PTTG1;PRDX4;DEPDC1;BIRC5;TOP2A;CKS2;LYAR;CCNB2;E2F8;RPA3;MELK;CCNE1;DIAPH3;SPC24;KIF18B;BRMS1L;UBE2T;KIF2C;HMGB2;CDCA8;AURKA;PSMC3IP;KIF4A;PLK4;PLK1;TUBG1;RFC3;TRIP13;EED;CDCA3;ASF1A;BUB1B;SMC6;DCLRE1B;PSIP1;PRIM2;UBE2S;RFC1;MCM6;TMPO;MXD3;MYBL2;CDC25A;RRM2;RAD21;HMGB3;CENPM;CDKN1B;RAD50;GSPT1;SPC25;POP7;HELLS;CKS1B;ORC6;PPM1D;AURKB;ING3;KPNA2;EZH2;ORC2;NUP153;ANP32E;CTCF;BRCA1;KIF22;RPA2;RAD1;LBR;USP1;MAD2L1;SUV39H1;PPP1R8;SSRP1;MSH2;EIF2S1;DEK;PA2G4;NCAPD2;POLD3;MCM4;CSE1L;RACGAP1;SMC1A;STAG1;NASP;RAN;EXOSC8;LMNB1;MCM3;NUP205
11,prerank,G2-M Checkpoint,0.40980408633491355,1.5262319341136423,0.0013531799729364006,0.02482290178701571,0.233,84/192,26.26%,PBK;CDC25B;HMMR;CDK1;MKI67;CDC20;CENPF;CENPE;FBXO5;CDKN3;PTTG1;CCNA2;BIRC5;TTK;TOP2A;CKS2;KNL1;E2F2;CCNB2;TRAIP;PTTG3P;DBF4;CASP8AP2;TPX2;KIF15;CDC7;EXO1;EFNA5;NDC80;E2F4;PRC1;POLQ;KIF2C;CDC27;TFDP1;NEK2;NUSAP1;KIF11;AURKA;BUB1;KIF4A;PLK4;RBL1;PLK1;FANCC;BUB3;KIF20B;SMC2;PURA;CENPA;TROAP;KIF23;CCNF;UBE2C;TOP1;ODC1;PRIM2;UBE2S;MCM6;TMPO;MYBL2;CDC25A;WRN;RAD21;HMGB3;CDKN1B;ATRX;HSPA8;SLC38A1;CUL1;GSPT1;KMT5A;CKS1B;DTYMK;ORC6;CCNT1;AURKB;KPNA2;EZH2;CTCF;KIF22;ATF5;RPA2;LBR
13,prerank,UV Response Dn,0.41672936764486534,1.4782133942971545,0.011444921316165951,0.03839314345684051,0.351,30/118,12.24%,TGFBR3;SMAD7;SDC2;SYNE1;COL1A2;FBLN5;CDC42BPA;LTBP1;FHL2;ACVR2A;FYN;INPP4B;CAV1;KALRN;NR1D2;ITGB3;APBB2;BMPR1A;TJP1;PRKCA;CACNA1A;MT1E;MAP1B;RASA2;ADD3;IGF1R;PRKAR2B;ATXN1;PIK3R3;LAMC1
16,prerank,Apical Surface,0.49970307121578866,1.4025706076819382,0.08445945945945946,0.07885399444446758,0.591,10/28,12.27%,MAL;GATA3;IL2RB;CD160;NTNG1;EPHB4;TMEM8B;IL2RG;GSTM3;EFNA5
17,prerank,TGF-beta Signaling,0.4472779215775833,1.3853652669518735,0.04813664596273292,0.08602746115500101,0.641,13/50,15.45%,CDH1;SMAD7;THBS1;PMEPA1;LTBP2;BMPR1A;TJP1;ID3;SKIL;SKI;ENG;WWTR1;BMPR2
18,prerank,Bile Acid Metabolism,0.41107906177050735,1.3785204623583194,0.04665629860031104,0.0869038422295426,0.664,16/79,11.82%,ABCD2;LCK;ALDH1A1;EPHX2;NR3C2;KLF1;PECR;OPTN;PFKM;GCLM;AQP9;NPC1;ABCA5;RBP1;NUDT12;ATXN1
15,prerank,Cholesterol Homeostasis,-0.3949132929046543,-1.4039912100552705,0.0273972602739726,0.0922681616444756,0.329,26/64,23.38%,JAG1;NFIL3;ATF3;ALCAM;CD9;CLU;FABP5;GUSB;ACSS2;CHKA;FDFT1;TMEM97;FASN;ANTXR2;SC5D;SQLE;ETHE1;GSTM2;GNAI1;CXCL16;TRIB3;ACTG1;CTNNB1;IDI1;LDLR;ECH1
19,prerank,Mitotic Spindle,0.36007839909109546,1.3479601845306626,0.03333333333333333,0.10881058250778958,0.779,52/190,18.49%,TIAM1;RAPGEF5;CTTN;MYH10;DLGAP5;CDC42BPA;CDC42EP4;BIN1;PIF1;CDK1;SHROOM1;TUBA4A;CENPF;CENPE;FBXO5;RHOF;BIRC5;TTK;TOP2A;NEDD9;RASA2;ARHGEF12;PCGF5;CCNB2;EPB41;TPX2;KIF15;ARHGEF3;ECT2;SOS1;NDC80;EZR;PRC1;MYO1E;PXN;ANLN;KIF2C;CDC27;NEK2;BCL2L11;NUSAP1;KIF11;AURKA;BUB1;KIF4A;PLK1;KIF20B;KIF23;SUN2;ARHGAP5;KIF3B;SASS6
20,prerank,Xenobiotic Metabolism,0.37429562352539303,1.3393556618022293,0.026573426573426574,0.11129250114178545,0.808,34/135,15.22%,ABCD2;GAD1;CES1;APOE;BLVRB;ARG1;ESR1;HES6;CYFIP2;PROS1;IGF1;PMM1;CA2;AQP9;GABARAPL1;GCH1;GCNT2;NPC1;PYCR1;UPP1;SAR1B;LPIN2;PC;SSR3;PPARD;CD36;ABCC2;LEAP2;SERTAD1;AKR1C2;FAS;GCLC;CROT;CYB5A
22,prerank,KRAS Signaling Up,0.3717401621259793,1.3260201830149911,0.043835616438356165,0.11193044340145178,0.84,36/134,12.40%,TRIB2;PLEK2;IL7R;PRKG2;ETS1;AKAP12;KIF5C;TRAF1;ARG1;PRDM1;AMMECR1;ANKH;IGFBP3;ST6GAL1;NAP1L2;CA2;G0S2;GLRX;RETN;EPB41L3;BIRC3;TMEM176A;CFH;LY96;IGF2;CCSER2;ABCB1;RGS16;TNFAIP3;IL2RG;BPGM;MMD;RABGAP1L;IL10RA;CAB39L;SPON1
21,prerank,Inflammatory Response,0.35968502975623134,1.3277628067688096,0.03017832647462277,0.11578701878153976,0.836,40/166,12.50%,LCK;CCL2;CCR7;LTA;IL7R;IL18R1;SLAMF1;RASGRP1;IL2RB;CCL5;IL18RAP;IFITM1;KCNA3;CD48;CSF1;RGS1;SLC4A4;AXL;CXCR6;ACVR2A;OLR1;LAMP3;ITGB3;AQP9;IL15;CHST2;SELL;GCH1;CD14;FPR1;RGS16;IL4R;SEMA4D;TNFSF10;GABBR1;NOD2;IL10RA;RTP4;ADM;PIK3R5
12,prerank,Coagulation,-0.39598736079584507,-1.5102569270502137,0.016339869281045753,0.11843027330063069,0.155,31/86,11.73%,APOC2;CFD;PLAU;MMP2;PROC;GSN;SPARC;MMP14;BMP1;S100A1;MMP7;MAFF;APOA1;SERPINE1;CD9;CLU;ANXA1;DUSP6;C1QA;SERPING1;DUSP14;C2;PLEK;LAMP2;MASP2;S100A13;FURIN;MSRB2;F3;F12;CTSV
23,prerank,Unfolded Protein Response,0.38150537755721586,1.310843792081192,0.06911764705882353,0.12008112576575976,0.87,15/105,12.12%,CCL2;DNAJA4;PSAT1;BAG3;DNAJB9;IFIT1;EIF2AK3;WIPI1;HERPUD1;VEGFA;TUBB2A;KDELR3;ERN1;ASNS;FKBP14
24,prerank,Wnt-beta Catenin Signaling,0.46246842002093924,1.2994466571777346,0.1069078947368421,0.12423509208047004,0.889,4/32,2.26%,LEF1;TCF7;AXIN2;PTCH1
